Article Title,authors_processed,Abstract,keywords,Publication Year,Journal Abbreviation,research_areas,Funding_orgs_processed,is_ocp,fund_org_count,is_um6p,Cited Reference Count
Data preprocessing in knowledge discovery in breast cancer: systematic mapping study,"['Chlioui, I', ' Idri, A', ' Abnane, I']","Data Mining (DM) is a set of techniques that allow to analyse data from different perspectives and summarising it into useful information. Data mining has been increasingly used in medicine, especially in oncology. Data preprocessing is the most important step of knowledge extraction process and allows to improve the performance of the DM models. Breast cancer (BC) becomes the most common cancer among females worldwide and the leading cause of women's death. This paper aims to perform a systematic mapping study to analyse and synthesise studies on the application of preprocessing techniques for a DM task in breast cancer.Therefore, 66 relevant articles published between 2000 and October 2018 were selected and analysed according to five criteria: year/channel of publication, research type, medical task, empirical type and preprocessing task. The results show that Conferences and journals are the most targeted publication sources, researchers were more interested in applying preprocessing techniques for the diagnosis of BC, historical-based evaluation was the most used empirical type in the evaluation of preprocessing techniques in BC, and data reduction was the most investigated task of preprocessing in BC. However, A low number of papers discussed treatment which encourages researchers to devote more efforts to this task.","['Preprocessing techniques', ' data mining', ' breast cancer', 'SUPPORT VECTOR MACHINES', ' FEATURE-SELECTION', ' CLASSIFICATION', ' PREDICTION', ' DIAGNOSIS', ' MODEL', ' PERFORMANCE', ' MAMMOGRAMS', ' ULTRASOUND', ' IMPUTATION']",2020.0,COMP M BIO BIO E-IV,['Engineering'],[''],False,1,False,97
Does Parmelina tiliacea lichen photosystem II survive at liquid nitrogen temperatures?,"['Oukarroum, A', ' El Gharous, M', ' Strasser, RJ']","Parmelina tiliacea lichens kept in the wet and dry state were stored in liquid nitrogen for 1 week and the subsequent recovery of their photosynthetic apparatus was followed. The chlorophyll a fluorescence rise and the maximum quantum yield of primary photochemistry phi(Po) (F-V/F-M) were analysed for this purpose. Storage of wet thalli for 1 week in liquid nitrogen led to an impairment of photosystem II and probably the photosynthetic apparatus as a whole, from which the thalli did not recover over time. Thalli exposed in the dry state thalli were far less affected by the treatment and recovered well. These results indicate that the thalli are extremely tolerant to liquid nitrogen temperatures only in the dry state. (C) 2016 Elsevier Inc. All rights reserved.","['Parmelina tiliacea', ' Liquid nitrogen', ' Dry and wet state', ' Chlorophyll a fluorescence rise', 'PHOTOSYNTHESIS', ' ACH.']",2017.0,CRYOBIOLOGY,"['Life Sciences & Biomedicine - Other Topics', ' Physiology']",['SNSF'],False,1,False,11
Efficacy of phosphate solubilizing Actinobacteria to improve rock phosphate agronomic effectiveness and plant growth promotion,"['Soumare, A', ' Boubekri, K', ' Lyamlouli, K', ' Hafidi, M', ' Ouhdouch, Y', ' Kouisni, L']","In the rhizosphere, plant growth is facilitated by plant-growth-promoting rhizobacteria (PGPR). PGPRs like Actinobacteria can increase level of phosphate available to plants through P solubilization or mineralization. In this study we evaluated the ability of nine Phosphate Solubilizing Actinobacteria (PSA) to release P from rock phosphate (RP) and to promote maize growth and yield under in vitro and greenhouse conditions. Plate bioassay and pots culture experiment were conducted to investigate the effects of these PSA on maize plants development. High reactive rock phosphate (BG4, from Gantour phosphate mine, Morocco) and triple superphosphate (TSP) from Morocco were used as positive controls. BG4, is a reactive RP directly used to increase the P status of soil according to the Office Cherifien des Phosphates (OCP). For the other treatments, plants were grown in soil amended with low reactive RP obtained from the Khouribga phosphate mine (Morocco) and inoculated with selected PSA strains. Our findings have indicated that, PSA inoculation resulted in increasing of the assessed growth parameters and nutrient content in maize seedlings. Four of the tested strains (BC3, BC10, BC11 and P18) showed high performance efficiency in RP-solubilization and improved plant P nutrition and growth under low-P conditions i.e. amended with low reactive RP. Furthermore, inoculation with these latter strains also showed an important production of acid and alkaline phosphatase in the rhizosphere of the maize. The relative agronomic effectiveness (RAE) index showed that BC3(Streptomyces griseorubens) and BC11 (Norcardiopsis alba) increased the yield by 135.33 and 126.91% over the positive controls BG4. These strains can be considered as the most efficient to use rock phosphate as a crude phosphate fertilizer. Overall, our results demonstrate that PSA could constitute a promising solution to valorize low reactive RP in agriculture. The 16 S rRNA gene sequencing and phylogenetic analysis identified these isolates belong to Streptomyces and Nocardiopsis genera.","['TSP', ' Triple superphosphate', ' RP', ' Rock phosphate', ' Reactive phosphate', ' Relative agronomic effectiveness.', ' Growth promotion', ' Actinobacteria', 'BACTERIA', ' RHIZOSPHERE', ' WHEAT', ' SOIL']",2021.0,RHIZOSPHERE-NETH,"['Agriculture', ' Plant Sciences']",['OCP'],True,1,False,42
Techno-economic assessment of quinoa production and transformation in Morocco,"['Rafik, S', ' Rahmani, M', ' Choukr-Allah, R', ' El Gharous, M', ' Calle, JPR', ' Filali, K', ' Hirich, A']","Agriculture is facing many challenges as climate change, drought, and salinity which call for urgent interventions to fast adaptation and diversification such as the introduction of new climate smart and stress tolerant crops such as quinoa. This study aims to introduce new high yielding quinoa cultivars conducted under several agronomic practices (rainfed, irrigation, and organic amendment) and to assess the technical and economic aspects related to quinoa seed production, transformation, and quality. Results obtained from agronomic trials clearly showed that International Center for Biosaline Agriculture cultivars recorded higher yields than locally cultivated seeds. Irrigation and organic amendment had a tremendous effect on quinoa productivity as it increased most of cultivar's yield by more than three times compared with rainfed conditions. Production cost analysis showed that using mechanized production and processing practices combined with irrigation and organic amendment can reduce seed production and processing cost from 2.8 to 1.2 USD kg(-1) compared with manual production system under rainfed conditions. The diagnosis of the quinoa transformation pathways revealed different transformation levels, and the production cost increased with the level of transformation due to high cost of labor and raw material. Analysis of quinoa seeds showed that macronutrient content is mostly not affected by pearling process, while micronutrients content was significantly decreased in processed seeds. In addition, total saponin content was reduced to an acceptable level after using mechanical pearling compared with manual abrasion.","['Chenopodium quinoa Willd', ' Production cost', ' Yield', ' Organic amendment', ' Saponin', ' Quinoa couscous', ' Processed quinoa', ' Mechanical abrasion']",2021.0,ENVIRON SCI POLLUT R,['Environmental Sciences & Ecology'],['International Development Research Center-CanadaCGIAR [108637-001]'],False,1,False,45
Dam effect on groundwater characteristics from area under semi-arid climate: case of the Zerrar dam within Essaouira basin (Morocco),"['Bahir, M', ' Ouazar, D', ' Ouhamdouch, S']","Morocco has 140 large dams with a total capacity of 17 Gm(3). The amount of potential fresh water is decreased by sedimentation of clays and/or soil in the dam's reservoirs. It is estimated at 70 million m(3), surface evaporation and water loss by the banks and foundations. In this study, the environmental stable and radioactive isotopes together with geochemical and piezometric data were used to assess the impact of Zerrar dam on groundwater in Essaouira basin (western Morocco). The water facies has been determined and has evolved from Na-Cl type (before the establishment of the dam) to Mg-Cl and Ca-Cl type (after establishment). The dissolution of evaporates and ion exchange reactions are the main processes affecting groundwater composition. Groundwater level has been measured and shows a decline. H-2-O-18 diagram revealed that the aquifer recharge has assured by precipitation of oceanic origin without evaporation and by infiltration from Ksob Wadi. H-3 and C-14 content shows that this recharge is generally recent and the age of the waters ranges between modern and 2.3 BP (ka). However, the Zerrar dam indirectly influences the groundwater quality of the study area, because this one decreases the flow of the Ksob Wadi that is the main recharge source of the aquifer during rainfall. In addition, this Wadi flow suffers the effect of climate change, which decreases the flow of the Ksob Wadi (river) that adds to the effect of the dam.","['Zerrar dam', ' Essaouira basin', ' Geochemistry', ' Morocco', ' Piezometry', ' Stable isotope', ' Semi-arid zone', 'SALINIZATION PROCESSES', ' COASTAL AQUIFER', ' EXAMPLE', ' MINERALIZATION', ' IMPACT']",2019.0,CARBONATE EVAPORITE,['Geology'],[''],False,1,False,33
Ensemble Case based Reasoning Imputation in Breast Cancer Classification,"['Chlioui, I', ' Idri, A', ' Abnane, I', ' Ezzat, M']","Missing Data (MD) is a common drawback that affects breast cancer classification. Thus, handling missing data is primordial before building any breast cancer classifier. This paper presents the impact of using ensemble Case-Based Reasoning (CBR) imputation on breast cancer classification. Thereafter, we evaluated the influence of CBR using parameter tuning and ensemble CBR (E-CBR) with three missingness mechanisms (MCAR: missing completely at random, MAR: missing at random and NMAR: not missing at random) and nine percentages (10% to 90%) on the accuracy rates of five classifiers: Decision trees, Random forest, K-nearest neighbor, Support vector machine and Multi-layer perceptron over two Wisconsin breast cancer datasets. All experiments were implemented using Weka JAVA API code 3.8; SPSS v20 was used for statistical tests. The findings confirmed that E-CBR yields to better results compared to CBR for the five classifiers. The MD percentage affects negatively the classifier performance: as the MD percentage increases, the accuracy rates of the classifier decrease regardless the MD mechanism and technique. RF with E-CBR outperformed all the other combinations (MD technique, classifier) with 89.72% for MCAR, 87.08% for MAR and 86.84% for NMAR.","['breast cancer', ' ensemble', ' CBR imputation', ' missing data', ' classification', 'KNOWLEDGE DISCOVERY']",2021.0,J INF SCI ENG,['Computer Science'],"['Moroccan Ministry of Higher Education', 'ADD', 'CNRST', 'UMP']",False,4,True,24
Estimation of the drift of a Gaussian process under balanced loss function,"['Moustaaid, J', ' Ouassou, I']","In this article, we study the problem of estimation of the drift theta of a Gaussian process (X-t)(t is an element of[0, T]). We give a class of estimators of James-Stein type whose risk is lower than the risk of the maximum likeli- hood estimator (MLE) (theta) over cap := (X-t)(t is an element of[0, T]) under the balanced loss function. Moreover, in the multidimensional case we give a class of Baranchik-type estimators of the drift of a d-dimensional fractional Brownian motion whose risk is lower than the risk of the MLE under a weighted balanced loss function. Finally, we give a numerical simulations to illustrate our results.","['Drift estimation', ' Malliavin calculus', ' balanced loss', ' James-Stein estimator', ' Baranchik type estimators', ' fractional Brownian motion']",,COMMUN STAT-THEOR M,['Mathematics'],[''],False,1,False,17
Cover crop water use and corn silage production in -semi-arid irrigated conditions,"['Paye, WS', ' Ghimire, R', ' Acharya, P', ' Nilahyane, A', ' Mesbah, AO', ' Marsalis, MA']","Cover crops can increase crop water productivity (CWP) and succeeding crop yield. However, cover crops adoption in the Southern High Plains of USA is slow due to limited water available for crop production. This study evaluated the effects of winter cover crops on soil water dynamics, corn silage yield and nutritive values, and corn silage CWP in a semi-arid irrigated condition. Three winter cover crop mixtures: grasses + brassicas + legumes (GBL), grasses + brassicas (GB), grasses + legumes (GL), and control or no cover crop (NCC) were evaluated for soil water storage, cover crop biomass, corn silage yield, nutritive values, and crop evapotranspiration (ET), and the cover crop-corn silage system water productivity (SWP) under a no-till irrigated corn silage production system. All cover crop treatments reduced soil water storage before their termination in both years. However, water storage was higher for all cover crop treatments than for NCC during corn growth. Average CWP for corn was improved by 14-29% with cover crop mixtures over the NCC. Corn silage yield among cover crop treatments was 9-26% higher than NCC. Nutritive value components of cover crops such as non-fat carbohydrates, relative forage quality, and Ca and Mg were higher in the GBL and GL mixtures than the GB in one of the two years. This study demonstrated increased corn silage yield and water productivity with cover cropping. Cover crops mixtures with legumes could offer a high-quality alternative forage for crop-cattle integrated systems, including dairy producers in the Southern High Plains region.","['Alternative forage crops', ' Forage quality', ' Soil water storage', ' Water use efficiency', 'GREEN FALLOW', ' SOIL', ' YIELD', ' CONSERVATION']",2022.0,AGR WATER MANAGE,"['Agriculture', ' Water Resources']","['USDA', 'USDA']",False,2,False,35
One Step Further Towards Real-Time Driving Maneuver Recognition Using Phone Sensors,"['Ramah, SE', ' Bouhoute, A', ' Boubouh, K', ' Berrada, I']","Statistics show that the global number of cars on the road will nearly double by the year 2040. The widespread use of cars prompts the search for new technologies and systems to ensure road safety, such as driving assistance systems, driver monitoring devices and driver training programs. For a number of these systems, driving maneuver recognition is a core function indispensable for correct operation. This paper addresses the problem of driving maneuver detection using smartphone sensors, especially accelerometers and gyroscopes. A framework based on a number of deep learning methods for maneuver classification and clustering was introduced. We studied 13 types of maneuvers. Three classifiers, each achieving good performance for recognizing the considered set of events, were selected, and their combination into an optimal set of classifiers was investigated. Our approach was tested on a real-world dataset, and achieved a good detection rate for 7 maneuvers with a balanced accuracy of 0.90 and an average F1 score of 0.71, which outperforms the other state-of-the-art recognition systems.","['Sensors', ' Vehicles', ' Smart phones', ' Gyroscopes', ' Accelerometers', ' Automobiles', ' Acceleration', ' Maneuvers recognition', ' detection and classification', ' neural networks', ' mobile sensors', ' phone rotation', ' normalization', 'CLASSIFICATION']",2021.0,IEEE T INTELL TRANSP,"['Engineering', ' Transportation']",[''],False,1,False,52
Lime-Induced pH Elevation Influences Phosphorus Biochemical Processes and Dynamics in the Rhizosphere of Lupinus polyphyllus and Lupinus angustifolius,"['Bouray, M', ' Moir, JL', ' Condron, LM', ' Lehto, NJ']","The biochemical drivers of phosphorus (P) availability and cycling are sensitive to changes in soil pH. However, reports of lime-induced pH modification effects on P availability are (1) inconsistent, (2) focused mainly on chemical changes, and (3) often limited to the bulk soil. Using lupin as an indicator species, we aimed to evaluate the effects of lime-induced soil pH change, from 5.3 to 6.0, on biochemical processes responsible for P mobilization and dynamics in the rhizosphere of two different lupin species. Indicator species, blue lupin (Lupinus angustifolius) and Russell lupin (Lupinus polyphyllus), were grown in a P-deficient acid grassland soil without P inputs for 11 weeks in a glasshouse. The rhizosphere soils were analyzed for enzyme activity, microbial P, and carboxylates. Both bulk and rhizosphere soils were analyzed for P fractions, exchangeable aluminum (Al), and pH. Plant yields and shoot P uptake were measured. Labile inorganic P (P-i) increased in the rhizospheres of both lupin species, likely due to P-i desorption combined with labile organic P (P-o) mineralization, induced by rhizosphere pH elevation after liming. Soil pH increase promoted microbial P immobilization and reduced phosphomonoesterase activity in the rhizosphere, leading to an accumulation of P-o mainly as moderately labile and stable P-o forms. Total carboxylate concentration (TCC) increased with soil pH increase. Variation in shoot P uptake was mostly explained by TCC. These results indicate that (1) lime application strongly affects P biochemical processes and dynamics in the rhizosphere of lupins. (2) Russell lupin utilizes less P than blue lupin and is unresponsive to liming.","['Rhizosphere', ' Liming', ' Phosphorus fractionation', ' Lupin', ' Carboxylates', ' Phosphatase', 'MICROBIAL BIOMASS PHOSPHORUS', ' H+-ATPASE ACTIVITY', ' NEW-ZEALAND SOILS', ' WHITE LUPIN', ' ORGANIC PHOSPHORUS', ' ALUMINUM TOLERANCE', ' PROTEOID ROOTS', ' PASTURE SOILS', ' ACID SOILS', ' PHOSPHATE']",2021.0,J SOIL SCI PLANT NUT,"['Plant Sciences', ' Environmental Sciences & Ecology', ' Agriculture']","['VI', 'OCP', 'LU']",True,3,True,88
Response of maize to coniferous tree woods biochar and sheep manure application to contaminated mine soil,"['EL Rasafi, T', ' Oukarroum, A', ' Haddioui, A']","Metallic trace element (MTE) soil contamination is a serious problem needed to be urgently faced to ensure safe food supply and protect human health over the world. The present work is a potting experiment conducted using two levels of biochar (2.5%; 5%) and animal manure (10%; 20%) to investigate their potential role in soil improvement and development of maize seeds grown in a former iron mine soil. Results show that both amendments increased soil pH. A successful growth of maize has been observed in presence of both organic amendments. Plants were well developed with leaves which were large, green, and longer comparing to untreated contaminated soil suggesting that biochar and animal manure reduced physical symptoms of metal toxicity. Biochar and animal manure amendments increased almost all the measured morphological characteristics especially shoot length (biochar: 16.44 cm, animal manure: 18.26 cm, and untreated soil: 13.37cm) and dry biomass of shoots (biochar: 0.11 g, animal manure: 0.18g, and untreated soil: 0.05g) and roots (biochar: 0.29 g, animal manure: 0.17 g, and untreated soil: 0.16 g) as well as length and numbers of leaves and leaf area. However, more studies are needed to explore the amendment role on biochemical, physiological, and accumulation of MTE by maize.","['Mine soil', ' Ait Ammar', ' Metal toxicity', ' Zea mays', ' Morphological behavior', ' Plant growth']",,BIOMASS CONVERS BIOR,"['Energy & Fuels', ' Engineering']",[''],False,1,False,79
Implicit and semi-implicit second-order time stepping methods for the Richards equation,"['Keita, S', ' Beljadid, A', ' Bourgault, Y']","This study concerns numerical methods for efficiently solving the Richards equation where different weak formulations and computational techniques are analyzed. The spatial discretizations are based on standard or mixed finite element methods. Different implicit and semi-implicit temporal discretization techniques of second-order accuracy are studied. To obtain a linear system for the semi-implicit schemes, we propose second-order techniques using extrapolation formulas and/or semi-implicit Taylor approximations for the temporal discretization of nonlinear terms. A numerical convergence study and a series of numerical tests are performed to analyze efficiency and robustness of the different schemes. The developed scheme, based on the proposed temporal extrapolation techniques and the mixed formulation involving the saturation and pressure head and using the standard linear Lagrange element, performs better than other schemes based on the saturation and the flux and using the Raviart-Thomas elements. The proposed semi-implicit scheme is a good alternative when implicit schemes meet convergence issues.","['Richards equation', ' Linearization schemes', ' Numerical convergence analysis', ' Second-order time-accuracy', ' Galerkin finite elements', ' Mixed finite elements']",2021.0,ADV WATER RESOUR,['Water Resources'],"['UMP', 'NSERC', 'UMP']",False,3,True,80
New low-cost ceramic microfiltration membrane made from natural magnesite for industrial wastewater treatment,"['Manni, A', ' Achiou, B', ' Karim, A', ' Harrati, A', ' Sadik, C', ' Ouammou, M', ' Younssi, SA', ' El Bouari, A']","This paper mainly focuses on the preparation of new low-cost ceramic microfiltration membrane made from natural magnesite. Firstly, local Moroccan magnesite was deeply characterized in order to understand its chemical and mineralogical composition, and its thermal behavior. It was confirmed that used natural magnesite exhibits high purity degree in terms of magnesite mineral. Next, flat magnesite membrane was fabricated via uniaxial pressing and sintering methods. The effect of sintering in the range 900-1200 degrees C on morphology, porosity, pore size, permeability and mechanical strength was investigated. Based on experimental results, the optimized membrane (sintered at 1100 degrees C) has a porosity of 48.15 %, a pore size of 1.12 mu m, a water permeability of 922 L h(-1) m(-2) bar(-1) and a mechanical strength of 6.1 MPa. Finally, the optimized magnesite membrane was subjected to filtration of industrial textile wastewater in order to evaluation its performance as microfiltration membrane. Importantly, experimental results are clearly demonstrated that magnesite membrane effectively clarifies textile wastewater. It was showed that turbidity and chemical oxygen demand removals could achieve 99.9 and 69.7 %, respectively.","['Magnesite', ' Ceramic membrane', ' Sintering', ' Microfiltration', ' Turbidity', 'MOROCCAN PERLITE', ' FLAT MEMBRANE', ' COLOR REMOVAL', ' ELABORATION', ' FABRICATION', ' SUPPORTS', ' POZZOLAN', ' CLAY', ' DYES', ' NANOFILTRATION']",2020.0,J ENVIRON CHEM ENG,['Engineering'],[''],False,1,False,44
"Assessment of groundwater quality from semi-arid area for drinking purpose using statistical, water quality index (WQI) and GIS technique","['Bahir, M', ' Ouhamdouch, S', ' Ouazar, D', ' Chehbouni, A']","This study aims to assess the groundwater status of a basin in a semi-arid climate, based on the hydrogeochemical, piezometric, statistical and geographic information system (GIS) approach. The region held as an example is the upstream part of the Essaouira basin (Morocco). Analysis of the evolution of the rainfall series by applying the Pettitt and Mann-Kendall tests shows a rainfall deficit of around 14% for the study period (1940-2015). For temperatures and with the application of both tests, an upward trend was observed with a warming of about 2.3 degrees C for the period 1987-2014. The same trend was observed for ETP, with an increase of around 5 mm for the period 1987-2014. The piezometric study shows a general decrease in the piezometric level over the last 24 years, as a result of the rainfall deficit. The hydrogeochemical approach shows (1) the dominance of the mixed Ca-Mg-Cl and Ca-Cl facies and that by passing from one campaign to another, groundwater generally keeps the same facies; (2) groundwater mineralization is controlled by the phenomenon of dissolution of evaporite and carbonate minerals and by the phenomenon of reverse ion exchange; (3) water quality index (WQI) values show that groundwater quality is becoming increasingly poor from each year to the next. However, the results obtained could be a reference to decision makers to protect this vital resource.","['WQI', ' SIG', ' Semi-arid', ' Groundwater', ' Morocco', 'CLIMATE-CHANGE', ' RESOURCES', ' DISTRICT', ' IMPACTS', ' INDIA']",2020.0,CARBONATE EVAPORITE,['Geology'],[''],False,1,False,32
Evolution of the chemical and isotopic composition of groundwater under a semi-arid climate; the case of the Cenomano-Turonian aquifer within the Essaouira basin (Morocco),"['Bahir, M', ' Ouazar, D', ' Goumih, A', ' Ouhamdouch, S']","This study evaluated how the chemical and isotopic composition of the groundwater in the Cenomano-Turonian aquifer of the Essaouira basin from Morocco has changed in response to low annual rainfall associated with climate change during the period 1995-2018. The study of the chemical composition of groundwater shows a Cl-Ca-Mg type facies which was maintained during the observation period (1995-2018). The electrical conductivity (EC) and the Cl- content of groundwater increased during the study period in response to low rainfall with a mean values range from 1214 (1995) to 2482 mu s/cm (2018) for EC and from 11.36 (1995) to 14meq/L (2018) for Cl-. Stable isotope measurements indicate that the Cenomano-Turonian aquifer is recharged by rainfall of Atlantic origin. Levels of O-18 during the period 2007 and 2016 were generally stable with slight fluctuations (approximate to 1 parts per thousand) that may be due to analytical errors, suggesting that climate change has no effect on the isotopic signature of groundwater in the study area. Tritium levels in groundwater decreased between 2007 and 2016, possibly due to low recharge rates associated with low annual rainfall during this period.","['Semi-arid climate', ' Stable isotope', ' Hydrochemistry', ' Groundwater quality', 'COASTAL AQUIFERS', ' WATER', ' SALINIZATION', ' VULNERABILITY', ' AREAS']",2019.0,ENVIRON EARTH SCI,"['Environmental Sciences & Ecology', ' Geology', ' Water Resources']",[''],False,1,False,33
Phosphorus Fertilization Enhances Productivity of Forage Corn (Zea mays L.) Irrigated with Saline Water,"['Bouras, H', ' Bouaziz, A', ' Choukr-Allah, R', ' Hirich, A', ' Devkota, KP', ' Bouazzama, B']","Salinity is a major problem affecting crop production in many regions in the world including Morocco. Agricultural practices such as fertilization could be useful to overcome this problem and improve crop productivity. The objective of our study was to evaluate the combined effect of phosphorus fertilization and irrigation water salinity on growth, yield, and stomatal conductance of forage corn (Zea mays L.) cv. Sy sincerro. Field experiments were carried out for two years testing four levels of irrigation water salinity (ECw = 0.7; 2, 4, and 6 dS center dot m(-1)) and three rates of phosphorus (105, 126, and 150 kg P2O5 center dot ha(-1)) fertilization conducted in a split-plot design with three replications. The obtained results show that irrigation water salinity had a negative effect on all monitored parameters. For instance, the dry matter yield reduced by an average of 19.3 and 25.1% compared to the control under saline irrigation with an EC value equal to 4 and 6 dS center dot m(-1), respectively. The finding also showed that phosphorus applications tend to increase root weight, root length, stem length, leaf stomatal conductance, grain yield and dry matter yield under salinity conditions. For example, the addition of phosphorus with a rate of 126 and 150 kg P2O5 center dot ha(-1) respectively improved dry matter yield by an average of 4 and 9% under low salinity level (ECw = 2 dS center dot m(-1)), by 4 and 15% under medium salinity (4 dS center dot m(-1)), and by 6 and 8% under a high salinity level (6 dS center dot m(-1)). Our finding suggests that supplementary P application could be one of the best practices to reduce the adverse effects of high salinity on growth and development of forage corn.","['irrigation', ' biomass yield', ' stomatal conductance', ' silage', ' best practices', 'SALT-TOLERANCE', ' STOMATAL CONDUCTANCE', ' USE EFFICIENCY', ' GRAIN-YIELD', ' STRESS', ' MAIZE', ' GROWTH', ' PHOTOSYNTHESIS', ' NITROGEN', ' ALLEVIATION']",2021.0,PLANTS-BASEL,['Plant Sciences'],[''],False,1,False,68
"Effect of salicylic acid foliar application on growth, glandular hairs and essential oil yield in Salvia officinalis L. grown under zinc stress","['Es-sbihi, FZ', ' Hazzoumi, Z', ' Joutei, KA']","Background: Generally, zinc (Zn) is an essential element and acts as a plant nutrient, but at higher concentrations, it is toxic. Higher uptake and translocation of Zn into plant tissues can cause serious physiological and biochemical alterations. However, salicylic acid (SA) is an endogenous regulator of growth and signaling molecule responsible for inducing environmental stress tolerance in plants. Therefore, spray application of SA could provide protection against several types of stresses such as Zn toxicity. In this context, the ameliorative effect of SA (0.5 and 1 mM) on Salvia officinalis L. under Zn stress (40 mM) was studied. Results: Zn stress decreased growth, chlorophyll content, essential oil yield and peltate glandular trichome density. This toxicity can be linked to a strong accumulation of Zn in the various parts of the plant. In addition, Zn stress disturbed nutrients assimilation (K, P and Ca). However, spray of SA, particularly at 0.5 mM improved all parameters studied under both Zn and normal conditions. The positive effects of SA under Zn stress condition may be due to the decrease of Zn accumulation in different parts of the plant. This decrease was accompanied by an increase in K, P and Ca content. In addition, the histological study of S. officinalis leaves showed the presence of two types of glandular hairs, the peltate and capitate glands. In the leaves of stressed plants, we noticed the presence of glands with deformations in the form of pockets in the number of one or more as well as the glands with an oval form. On the other hand, all these abnormalities glands were not detected in stressed plants that were sprayed with SA. Therefore, the absence of these anomalies under the effect of SA showed the remedial effect of this growth regulator. Conclusion: The findings of the present work suggest that spraying SA maybe useful for improving the plant growth in Zn-contaminated areas.","['Salvia officinalis', ' Zinc', ' Stress', ' Salicylic acid', ' Glandular hairs', 'BIOCHEMICAL-CHANGES', ' COPPER', ' WHEAT', ' PHOTOSYNTHESIS', ' TOLERANCE', ' SEEDLINGS', ' TOXICITY', ' ZN', ' ACCUMULATION', ' INHIBITION']",2020.0,CHEM BIOL TECHNOL AG,['Agriculture'],[''],False,1,False,73
New insight into thermocline packed bed energy storage systems: Fast algorithm for sizing,"['Baba, YF', ' Al Mers, A', ' Faik, A', ' Bouatem, A']","Several stages are involved in numerical modeling: discretization, programming, validation, and finally nu-merical resolution. Current approaches, in particular for the packed bed storage system, remain accurate; nevertheless, they require prohibitive computing time and effort. In this viewpoint, the focus of the present work is the proposition of a new algorithm for fast sizing of the packed bed energy storage systems. The methodology is based on the reduction of the dimensionless dual-phase approach developed earlier. We demonstrated how the new algorithm can be deployed efficiently for fast calculation of the essential parameters of packed bed energy storage systems. Compared to the different approaches presented in the literature, the present approach uses the required discharge time as an input parameter and considers the cycle's succession effect. The outcomes showed that the system performances can be directly predicted and correlated according to one dimensionless parameter. It demonstrates also that proposed approach significantly reduces the programming efforts as well as the central processing unit time while maintaining the dual-phase approach accuracy. The average deviation between the detailed dual-phase model and the proposed method does not exceed 2%.","['Thermocline energy storage system', ' Dual-phase approach', ' Reduced model', ' Characteristic curves', ' Sizing algorithm', 'SOLAR POWER-PLANTS', ' FILLER MATERIALS', ' MOLTEN-SALT', ' MODEL', ' SIMULATION', ' TANK']",2021.0,J ENERGY STORAGE,['Energy & Fuels'],"['IRESEN', 'KIC']",False,2,False,26
Neighbourhood effects and the incidence of child labour,"['Gaku, S', ' Tsyawo, ES']","In spite of the growing interest in factors driving the incidence of child labour, little is known of the relationship between neighbours' decisions and a child's propensity to engage in paid work, i.e., the neighbourhood effect. This paper examines this relationship using the spatial autoregressive linear probability model. We find a positive and highly significant relationship. Using several subsample analyses, we find that the relationship is stronger for males and for children in rural areas. Contrary to earlier studies, the association between poverty and the incidence of child labour is relatively weak in the presence of neighbourhood effects. We also find that the propensity to engage in child labour is increasing in the level of employment at the community level.","['Child labour', ' Poverty', ' Neighbourhood effect', ' Spatial autoregressive model', ' Linear probability model']",2021.0,LETT SPAT RESOUR SCI,['Geography'],[''],False,1,False,22
Comparing four machine learning model performances in forecasting the alluvial aquifer level in a semi-arid region,"['El Bilali, A', ' Taleb, A', ' Brouziyne, Y']","Groundwater level fluctuation is a nonlinear and non-stationary system as it depends on several factors in the time and space scales. Conceptual models require several physical parameters whose estimation is delicate in poorly monitored areas. However, data-based models may be valuable for modelling and forecasting groundwater level over short and long terms. To that end, four machine learning models, namely: Support Vector Regression, k- Nearest Neighbour (k-NN), Random Forest (RF), and Artificial Neural Network (ANN), are trained, validated, and compared for predicting groundwater level (GWL) at seven piezometers on alluvial groundwater of Tanobart aquifer in Morocco. The results revealed that the ANN models succeeded properly in simulating GWL at five piezometers out of the total seven piezometers considered in this study (NSE = 0.69 to 0.8); the RF was satisfactory at five piezometers (NSE = 0.41 to 0.72) and SVR at three piezometers (NSE = 0.57 to 0.81); the k-NN was the poorest model among all the investigated models (NSE = 1.05 to 0.15). The uncertainty analysis showed that the selected models are accurate overall; the SVR model showed the best forecasting accuracy with the smallest 95% interval prediction error (0.25 m and 0.11 m) at one piezometer. This study provides new insight to forecast the GWL under a semi-arid context such Tanobart aquifer in Khemesset province, Morocco.","['Alluvial groundwater', ' Random forest', ' Artificial neural network', ' Support vector regression', ' Tanobart', ' Morocco', 'HYDROLOGICAL-ECONOMIC MODEL', ' CLIMATE-CHANGE', ' GROUNDWATER RESOURCES', ' WATER MANAGEMENT', ' PREDICTION', ' MINERALIZATION', ' VULNERABILITY', ' SALINITY', ' ANFIS', ' BASIN']",2021.0,J AFR EARTH SCI,['Geology'],[''],False,1,False,80
